n	Binary search (including sort)	Binary search (excluding sort)	Linear search
1000	0.00014843940734863282	4.553794860839844e-06	0.00015246868133544922
2000	0.00019659996032714844	3.0994415283203125e-06	0.00016376972198486328
3000	0.000346827507019043	3.4570693969726562e-06	0.00024149417877197265
4000	0.0004528999328613281	3.4809112548828124e-06	0.0003403663635253906
5000	0.0005769729614257812	3.862380981445312e-06	0.0004216670989990234
6000	0.0006733417510986328	3.6478042602539064e-06	0.0004963159561157226
7000	0.000834202766418457	3.528594970703125e-06	0.0005764245986938476
8000	0.0009367704391479492	3.5762786865234375e-06	0.0006701231002807617
9000	0.0010741949081420898	4.029273986816406e-06	0.000770401954650879
10000	0.0012115716934204101	3.957748413085938e-06	0.000845789909362793
11000	0.0013656854629516602	3.886222839355469e-06	0.0009340524673461914
12000	0.001516246795654297	3.886222839355469e-06	0.001027393341064453
13000	0.00164794921875	3.743171691894531e-06	0.001107501983642578
14000	0.0018055200576782226	3.7670135498046877e-06	0.0012176513671875
15000	0.001960468292236328	3.7670135498046877e-06	0.0013226985931396485
16000	0.002094721794128418	3.981590270996094e-06	0.0013569355010986327
17000	0.002231407165527344	4.38690185546875e-06	0.0014735698699951173
18000	0.0023868799209594725	4.291534423828125e-06	0.0015484094619750977
19000	0.0025481462478637697	4.220008850097656e-06	0.0016587018966674806
20000	0.0026938676834106444	4.1961669921875e-06	0.0017408132553100586
21000	0.0028504371643066407	4.315376281738282e-06	0.0017713069915771484
22000	0.0030205965042114256	4.315376281738282e-06	0.001973414421081543
23000	0.0031853199005126955	4.38690185546875e-06	0.0020305633544921873
24000	0.0033531665802001955	4.649162292480469e-06	0.002154374122619629
25000	0.0035289525985717773	4.220008850097656e-06	0.002248263359069824
26000	0.003602457046508789	4.267692565917968e-06	0.0022441864013671873
27000	0.0038305044174194334	4.315376281738282e-06	0.0024719476699829102
28000	0.004000234603881836	4.38690185546875e-06	0.002601313591003418
29000	0.004154610633850098	4.410743713378906e-06	0.0026099443435668944
30000	0.004350018501281738	4.267692565917968e-06	0.002653050422668457
31000	0.004505038261413574	4.172325134277344e-06	0.0027822256088256836
32000	0.004708123207092285	4.363059997558594e-06	0.002912592887878418
33000	0.004799008369445801	4.696846008300781e-06	0.0030422449111938477
34000	0.0050296783447265625	4.76837158203125e-06	0.0030830860137939452
35000	0.0052517175674438475	4.673004150390625e-06	0.003388071060180664
36000	0.005338263511657715	4.839897155761719e-06	0.0031967401504516602
37000	0.005504250526428223	4.9591064453125e-06	0.003386402130126953
38000	0.005587577819824219	4.5299530029296875e-06	0.003448224067687988
39000	0.005964922904968262	4.57763671875e-06	0.003763723373413086
40000	0.005971693992614746	4.744529724121093e-06	0.003881025314331055
41000	0.0061760425567626955	4.625320434570312e-06	0.003953099250793457
42000	0.00639796257019043	4.792213439941407e-06	0.004078507423400879
43000	0.006454920768737793	4.911422729492188e-06	0.0042141199111938475
44000	0.006784701347351074	4.863739013671875e-06	0.0043039083480834964
45000	0.006903958320617676	4.816055297851562e-06	0.004364538192749024
46000	0.0070688724517822266	4.76837158203125e-06	0.0045127391815185545
